created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 03 12:50:42 +0000 2024;1742528912981365193;"Sadar gak klo joget gemoy sudah hilang di TL setelah debat pertama capres? Kubu Wowo sudah sadar klo branding tersebut gagal total.  😂😂😂  #AsalBukanPrabowo https://t.co/Zt8HoGDcta";1;8;23;69;in;84221579;1742528912981365193;narkosun;https://twitter.com/narkosun/status/1742528912981365193
Wed Jan 03 09:51:44 +0000 2024;1742483876449255425;"Kenapa semua kubu paslon tidak perlu khawatir pada media penyelenggara produksi debat Capres Cawapres. Berikut 7 alasannya.  Pertama. @KPU_ID telah meneliti kelaikkan setiap media penyelenggara produksi debat, kami semua adl institusi yg mampu, berintegritas &amp  punya komitmen.";0;1;1;0;in;84021064;1742483876449255425;AriefSuditomo;https://twitter.com/AriefSuditomo/status/1742483876449255425
Wed Jan 03 07:58:19 +0000 2024;1742455335775019129;"@zy_zy_its_me Udah jelas sama pak @ganjarpranowo saat debat capres pertama.";0;0;0;0;in;1615305246053634049;1742145155618988198;alekgugig;https://twitter.com/alekgugig/status/1742455335775019129
Wed Jan 03 06:01:31 +0000 2024;1742425940247089417;"Debat pertama Capres mengangkat masalah pemerintahan, hukum HAM, pemberantasan korupsi, penguatan demokrasi, serta peninngkatan layanan publik dan kerukunan warga. #arsjadrasjid #TPNGanjarMahfud #inklusifkolaboratif";0;0;0;0;in;1697182294338052096;1742425940247089417;herman_apr86162;https://twitter.com/herman_apr86162/status/1742425940247089417
Wed Jan 03 05:57:58 +0000 2024;1742425047049097474;"Debat pertama yang menampilkan capres, digelar pada 12 Desember 2023, dengan mengangkat isu pemerintahan, hukum, hak asasi manusia, pemberantasan korupsi, penguatan demokrasi, peningkatan layanan publik, dan kerukunan warga. #arsjadrasjid #TPNGanjarMahfud #inklusifkolaboratif";0;0;0;0;in;1697172033917026304;1742425047049097474;AlifaPutri33965;https://twitter.com/AlifaPutri33965/status/1742425047049097474
Wed Jan 03 05:45:37 +0000 2024;1742421940588200033;"Debat pertama yang menampilkan capres, digelar pada 12 Desember 2023, dengan mengangkat isu pemerintahan, hukum, hak asasi manusia, pemberantasan korupsi, penguatan demokrasi, peningkatan layanan publik, dan kerukunan warga. #arsjadrasjid #TPNGanjarMahfud #inklusifkolaboratif";0;0;0;0;in;1642749401558044672;1742421940588200033;DianaPutri93464;https://twitter.com/DianaPutri93464/status/1742421940588200033
Wed Jan 03 05:28:02 +0000 2024;1742417514691453109;"Debat pertama Capres mengangkat masalah pemerintahan, hukum HAM, pemberantasan korupsi, penguatan demokrasi, serta peninngkatan layanan publik dan kerukunan warga. #arsjadrasjid #TPNGanjarMahfud #inklusifkolaboratif";0;0;0;0;in;1564181759188557825;1742417514691453109;AhdaSintia;https://twitter.com/AhdaSintia/status/1742417514691453109
Wed Jan 03 05:10:24 +0000 2024;1742413076907893054;"Dukungan itu makin solid setelah digelarnya debat capres tahap pertama, berlanjut dengan debat cawapres. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto";0;1;0;0;in;741633710601043969;1742413035858522420;gadotaja;https://twitter.com/gadotaja/status/1742413076907893054
Wed Jan 03 03:48:42 +0000 2024;1742392514676682912;"H-4  Debat Capres politik luar negeri.  Bocoran soal:  1. Apa kepanjangan dari UNHCR, ASEAN, AUKUS, NATO, BRICS, OECD?  2. Sebutkan 20 negara anggota G20, 10 anggota ASEAN, negara anggota DK PBB.  3. Sebutkan nama-nama mantan Menteri Luar Negeri RI dari yg pertama sampau skrg.";143;178;557;3189;in;59823199;1742392514676682912;okkymadasari;https://twitter.com/okkymadasari/status/1742392514676682912
Wed Jan 03 02:58:47 +0000 2024;1742379955630329919;"Pada periode pemantauan 27 Desember 2023-1 Januari 2024, setelah pasca debat capres dan cawapres perdana, tingkat popularitasnya mengalami perubahan dari pekan lalu. Paslon 02 @prabowo &amp  @gibran_tweet menempati urutan pertama. #MenujuR1   https://t.co/zHcymrmMaZ";0;1;0;2;in;1131026310610817024;1742379955630329919;netrayID;https://twitter.com/netrayID/status/1742379955630329919
