tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,stat_kawin,jumlah
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,LAKI-LAKI,BELUM KAWIN,18
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,LAKI-LAKI,BELUM KAWIN,21
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,LAKI-LAKI,BELUM KAWIN,23
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,LAKI-LAKI,BELUM KAWIN,13
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,LAKI-LAKI,BELUM KAWIN,11
2020,DKI JAKARTA,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,LAKI-LAKI,BELUM KAWIN,9
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,LAKI-LAKI,BELUM KAWIN,75
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,LAKI-LAKI,BELUM KAWIN,392
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,LAKI-LAKI,BELUM KAWIN,491
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,LAKI-LAKI,BELUM KAWIN,768
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,LAKI-LAKI,BELUM KAWIN,325
2020,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,LAKI-LAKI,BELUM KAWIN,434
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,LAKI-LAKI,BELUM KAWIN,455
2020,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,LAKI-LAKI,BELUM KAWIN,608
